traj_id,mm_id,path,timestamp,driver_id
14,80,"[845, 7741, 8502, 7739, 761, 3355, 946, 30, 28, 25, 5654, 1055, 7287, 62, 726, 7019, 7022, 10775, 2379, 730, 719, 5114, 7054, 7056, 7057, 7063, 724, 10706, 5685, 8510, 373, 162, 8512, 11012, 7539, 10154, 4869, 10577, 4870, 2461, 542, 428, 5279, 5273, 430, 7191, 417, 4891, 7117, 1945, 419, 8996, 5402, 7795, 306, 10166, 5397, 304, 267, 262, 10575, 261, 5624, 5623, 8368, 10571, 8370]","[1372637423, 1372637438, 1372637468, 1372637483, 1372637513, 1372637528, 1372637543, 1372637569, 1372637573, 1372637575, 1372637575, 1372637588, 1372637600, 1372637603, 1372637612, 1372637614, 1372637618, 1372637621, 1372637633, 1372637648, 1372637654, 1372637656, 1372637663, 1372637679, 1372637683, 1372637705, 1372637708, 1372637719, 1372637723, 1372637764, 1372637783, 1372637794, 1372637813, 1372637818, 1372637828, 1372637828, 1372637838, 1372637840, 1372637842, 1372637843, 1372637873, 1372637894, 1372637903, 1372637905, 1372637910, 1372637912, 1372637914, 1372637918, 1372637922, 1372637926, 1372637933, 1372637940, 1372637942, 1372637948, 1372637963, 1372637978, 1372637990, 1372637993, 1372638040, 1372638048, 1372638053, 1372638053, 1372638068, 1372638098, 1372638113, 1372638128, 1372638143]",20000341
15,32,"[8236, 5018, 4788, 18, 20, 8193, 8197, 8196, 56, 57, 5135, 7069, 10404, 746, 10442, 740, 881, 892, 879, 8733, 2365, 1857, 911, 10444, 10447, 10446, 645, 635, 646, 8807, 2098, 2111, 2967, 10151, 2972, 1081, 9770, 8883, 8876, 8882, 6452, 8877, 2962, 2879, 10327, 7386, 8392, 7401, 8398, 7420, 7415, 7404, 7382, 7426, 7396, 2942, 2947, 8086]","[1372637453, 1372637483, 1372637498, 1372637513, 1372637517, 1372637524, 1372637525, 1372637528, 1372637558, 1372637618, 1372637624, 1372637632, 1372637633, 1372637643, 1372637648, 1372637657, 1372637663, 1372637678, 1372637693, 1372637703, 1372637705, 1372637708, 1372637723, 1372637735, 1372637738, 1372637745, 1372637753, 1372637760, 1372637763, 1372637764, 1372637765, 1372637768, 1372637771, 1372637772, 1372637778, 1372637783, 1372637789, 1372637796, 1372637798, 1372637798, 1372637800, 1372637801, 1372637807, 1372637813, 1372637828, 1372637837, 1372637838, 1372637840, 1372637842, 1372637843, 1372637851, 1372637857, 1372637858, 1372637866, 1372637872, 1372637873, 1372637880, 1372637888]",20000648
16,18,"[10125, 2333, 10242, 7024, 7333, 9241, 10518, 10222, 10219, 10746, 2385, 10749, 898, 10227, 587, 10239, 10229, 1347, 10237, 903, 1339, 1327, 10232, 10235, 1321, 5603, 5585, 5569, 5567, 5563, 1252, 1228, 5602, 5605, 7264, 5599, 5597, 5570, 5576, 5559, 5568, 1181, 1183, 1200, 1808]","[1372637482, 1372637497, 1372637500, 1372637511, 1372637512, 1372637515, 1372637527, 1372637533, 1372637542, 1372637547, 1372637548, 1372637549, 1372637551, 1372637553, 1372637556, 1372637557, 1372637562, 1372637564, 1372637568, 1372637572, 1372637577, 1372637582, 1372637587, 1372637587, 1372637592, 1372637594, 1372637596, 1372637601, 1372637602, 1372637610, 1372637614, 1372637617, 1372637644, 1372637647, 1372637648, 1372637649, 1372637655, 1372637662, 1372637665, 1372637672, 1372637677, 1372637683, 1372637688, 1372637692, 1372637707]",20000005
17,24,"[4132, 9621, 4288, 2739, 10780, 7934, 10934, 4301, 2737, 2749, 7181, 7185, 7908, 7911, 4786, 9386, 6833, 2067, 8316, 10583, 10588, 10049, 10074, 2729, 260, 10513, 10575, 261, 5624, 5623, 8368, 10571, 8369]","[1372637658, 1372637677, 1372637688, 1372637695, 1372637703, 1372637715, 1372637717, 1372637718, 1372637728, 1372637731, 1372637733, 1372637736, 1372637746, 1372637747, 1372637748, 1372637763, 1372637808, 1372637838, 1372637842, 1372637852, 1372637853, 1372637860, 1372637863, 1372637868, 1372637882, 1372637883, 1372637889, 1372637889, 1372637898, 1372637928, 1372637943, 1372637958, 1372638033]",20000596
18,9,"[10690, 8500, 7855, 7737, 8810, 7451, 241, 5498, 7006, 377, 7008]","[1372637905, 1372637913, 1372637915, 1372637919, 1372637920, 1372637935, 1372637950, 1372637964, 1372637965, 1372638130, 1372638145]",20000320
19,345,"[465, 5614, 469, 176, 473, 10165, 10635, 1429, 10629, 6765, 3807, 3804, 4860, 4858, 4855, 8727, 3784, 9742, 3781, 3746, 3742, 3691, 9529, 9526, 205, 203, 202, 215, 213, 7226, 3562, 8070, 3505, 3567, 3568, 5143, 3575, 3585, 3587, 1051, 218, 221, 224, 233, 234, 3415, 8488, 3419, 237, 492, 1067, 8500, 7855, 7737, 8810, 7451, 241, 5498, 7006, 377, 7008]","[1372637915, 1372637930, 1372637945, 1372637975, 1372637986, 1372637990, 1372637998, 1372637999, 1372638000, 1372638002, 1372638003, 1372638005, 1372638012, 1372638016, 1372638020, 1372638026, 1372638027, 1372638030, 1372638031, 1372638034, 1372638035, 1372638043, 1372638046, 1372638050, 1372638065, 1372638102, 1372638105, 1372638110, 1372638125, 1372638133, 1372638133, 1372638135, 1372638143, 1372638145, 1372638148, 1372638151, 1372638159, 1372638162, 1372638164, 1372638170, 1372638200, 1372638260, 1372638275, 1372638290, 1372638297, 1372638305, 1372638316, 1372638320, 1372638350, 1372638365, 1372638395, 1372638407, 1372638410, 1372638420, 1372638422, 1372638425, 1372638440, 1372638454, 1372638455, 1372638507, 1372638560]",20000344
20,353,"[3099, 3094, 3101, 3109, 3105, 3096, 10711, 7076, 4511, 1049, 881, 892, 879, 8733, 2365, 1857, 911, 10443, 640, 641, 131, 8287, 2048, 8282, 5597, 5570, 5576, 5558, 5565, 10548, 5572, 5586, 9467, 1194, 461, 3082, 6940, 456, 8619, 8620, 6944, 9244, 659, 4842, 7160, 337, 338, 4814, 4815, 6949, 8315, 3084, 8204, 8199, 8232, 8235, 10738, 6935, 6902, 8611, 8616, 8617]","[1372638021, 1372638066, 1372638077, 1372638081, 1372638096, 1372638105, 1372638111, 1372638117, 1372638121, 1372638126, 1372638141, 1372638156, 1372638171, 1372638183, 1372638186, 1372638201, 1372638216, 1372638246, 1372638256, 1372638261, 1372638283, 1372638291, 1372638321, 1372638336, 1372638345, 1372638350, 1372638351, 1372638366, 1372638381, 1372638386, 1372638390, 1372638395, 1372638396, 1372638411, 1372638426, 1372638437, 1372638441, 1372638454, 1372638455, 1372638456, 1372638460, 1372638471, 1372638471, 1372638472, 1372638486, 1372638497, 1372638501, 1372638507, 1372638512, 1372638514, 1372638515, 1372638516, 1372638546, 1372638551, 1372638553, 1372638555, 1372638557, 1372638560, 1372638570, 1372638576, 1372638576, 1372638666]",20000256
21,84,"[7847, 52, 54, 57, 5135, 7069, 10404, 745, 3348, 3345, 5703, 3347, 593, 3136, 5286, 5289, 886, 578, 448, 3171, 451, 3270]","[1372638031, 1372638076, 1372638106, 1372638121, 1372638127, 1372638135, 1372638136, 1372638151, 1372638153, 1372638157, 1372638161, 1372638166, 1372638169, 1372638174, 1372638177, 1372638181, 1372638196, 1372638211, 1372638218, 1372638224, 1372638226, 1372638256]",20000171
22,285,"[193, 196, 9341, 1370, 1378, 1408, 198, 1412, 4365, 1623, 465, 5614, 469, 177, 5616, 10593, 181, 489, 487, 10628, 1431, 10634, 10164, 472, 9750, 1424, 1426]","[1372638035, 1372638050, 1372638065, 1372638080, 1372638095, 1372638125, 1372638144, 1372638155, 1372638167, 1372638177, 1372638185, 1372638195, 1372638200, 1372638236, 1372638245, 1372638255, 1372638258, 1372638260, 1372638268, 1372638275, 1372638283, 1372638290, 1372638303, 1372638305, 1372638309, 1372638320, 1372638335]",20000337
23,14,"[5497, 243, 7450, 8811, 7738, 7856, 8499, 10690, 8500, 7855, 7737, 8809, 8812, 245, 7938, 780, 8485, 8655, 837, 8275, 778, 8300, 8792, 7715, 8784, 946, 31, 92, 7825, 90, 3099, 3094, 3101, 3109, 3105, 3096, 10711, 7076, 4511, 1049, 882, 887, 753]","[1372638151, 1372638181, 1372638192, 1372638194, 1372638196, 1372638211, 1372638215, 1372638226, 1372638243, 1372638248, 1372638256, 1372638259, 1372638261, 1372638271, 1372638282, 1372638286, 1372638301, 1372638316, 1372638331, 1372638345, 1372638347, 1372638361, 1372638365, 1372638372, 1372638376, 1372638391, 1372638406, 1372638421, 1372638436, 1372638451, 1372638461, 1372638468, 1372638477, 1372638481, 1372638483, 1372638491, 1372638496, 1372638502, 1372638506, 1372638511, 1372638526, 1372638534, 1372638541]",20000231
24,255,"[3099, 3095, 75, 8237, 6768, 1062, 28, 25, 5654, 1055, 7287, 62, 726, 7019, 7022, 10775, 2379, 730, 719, 5116, 710, 1167]","[1372638156, 1372638171, 1372638186, 1372638201, 1372638216, 1372638231, 1372638246, 1372638261, 1372638276, 1372638291, 1372638306, 1372638321, 1372638336, 1372638351, 1372638366, 1372638381, 1372638396, 1372638411, 1372638426, 1372638441, 1372638456, 1372638471]",20000451
25,78,"[1061, 92, 7825, 90, 3099, 3094, 3101, 3109, 3105, 3096, 10711, 7076, 4511, 1049, 881, 892, 880, 582, 584]","[1372638158, 1372638188, 1372638218, 1372638263, 1372638278, 1372638284, 1372638293, 1372638316, 1372638323, 1372638332, 1372638338, 1372638348, 1372638353, 1372638368, 1372638383, 1372638398, 1372638413, 1372638473, 1372638518]",20000620
26,194397,"[5497, 243, 7450, 8811, 7738, 7856, 8499, 10690, 8500, 7855, 7737, 8809, 8812, 245, 7938, 780, 8485, 8655, 837, 8275, 778, 8300, 8792, 7715, 8784, 946, 31, 92, 7825, 90, 3099, 3094, 3101, 3109, 3105, 3096, 10711, 7076, 4511, 1049, 882, 887, 753]","[1372638160, 1372638182, 1372638188, 1372638189, 1372638190, 1372638220, 1372638224, 1372638235, 1372638258, 1372638265, 1372638272, 1372638273, 1372638274, 1372638280, 1372638291, 1372638295, 1372638310, 1372638320, 1372638325, 1372638351, 1372638355, 1372638365, 1372638366, 1372638370, 1372638385, 1372638400, 1372638415, 1372638445, 1372638460, 1372638475, 1372638484, 1372638490, 1372638498, 1372638501, 1372638502, 1372638505, 1372638507, 1372638515, 1372638520, 1372638530, 1372638535, 1372638543, 1372638550]",20000456
27,20,"[3099, 3094, 3101, 3110, 5132, 3092, 10080, 8277, 7292, 120, 748, 5128, 3104, 3107, 5131, 5135, 7070, 7071, 7066, 7073, 7086, 7846, 822, 821, 3277, 5416, 869, 2612, 920, 8005, 3123, 913, 10064, 3229, 10067, 10065, 3147, 3169]","[1372638161, 1372638191, 1372638202, 1372638206, 1372638212, 1372638216, 1372638218, 1372638221, 1372638221, 1372638224, 1372638229, 1372638230, 1372638236, 1372638236, 1372638251, 1372638256, 1372638266, 1372638275, 1372638279, 1372638281, 1372638295, 1372638296, 1372638311, 1372638326, 1372638331, 1372638333, 1372638335, 1372638337, 1372638339, 1372638340, 1372638340, 1372638341, 1372638348, 1372638355, 1372638356, 1372638361, 1372638362, 1372638371]",20000423
28,42,"[162, 8512, 11012, 7539, 10154, 4869, 10577, 4870, 2461, 542, 428, 5279, 5273, 430, 7191, 417, 4891, 7117, 1945, 419, 8996, 5402, 7795, 307, 8955, 8766, 8957, 309, 7902, 7903, 2695, 9406, 2697, 8522, 4558, 10207, 4565, 4562, 4885, 7189]","[1372638361, 1372638376, 1372638391, 1372638406, 1372638406, 1372638412, 1372638413, 1372638414, 1372638415, 1372638421, 1372638492, 1372638523, 1372638541, 1372638550, 1372638552, 1372638556, 1372638561, 1372638564, 1372638566, 1372638571, 1372638582, 1372638586, 1372638601, 1372638616, 1372638625, 1372638626, 1372638627, 1372638629, 1372638631, 1372638632, 1372638639, 1372638646, 1372638683, 1372638691, 1372638706, 1372638721, 1372638736, 1372638745, 1372638751, 1372638766]",20000154
29,107,"[6861, 6434, 2227, 2223, 6259, 11091, 5153, 4837, 6302, 6387, 6425, 6431, 8596, 6863, 6862, 6871, 6878, 6898, 6908, 6917, 6924, 10547, 6923, 6918, 6916, 6919, 6921, 6915, 6913, 6909, 9082, 2342, 2345, 1208, 1191, 6901, 1186, 4823, 3089, 3087, 3083, 459, 1193, 9466, 5588, 5573, 10549, 10551, 5561, 826, 9243, 5600, 5594, 5607, 5584, 5595, 7263, 5574, 5579, 5593, 10521, 5581, 9423, 10234, 10233, 1328, 1338, 902, 10238, 1348, 10230, 10240, 588, 10228, 899, 10748, 10747, 10221, 10223, 10519, 9242, 8507, 10125, 2332, 7020, 768, 9100, 7900, 8486, 8505, 7901, 764, 4770, 862, 845, 7741, 8502, 7739, 761, 3355, 946, 30, 28, 25, 5653, 7839, 5650, 5656, 5648, 6777, 6773, 6774, 7842, 6455, 735]","[1372638504, 1372638505, 1372638510, 1372638511, 1372638512, 1372638512, 1372638513, 1372638513, 1372638514, 1372638518, 1372638519, 1372638520, 1372638521, 1372638522, 1372638522, 1372638523, 1372638523, 1372638532, 1372638533, 1372638533, 1372638534, 1372638549, 1372638594, 1372638609, 1372638612, 1372638613, 1372638615, 1372638620, 1372638624, 1372638629, 1372638634, 1372638639, 1372638654, 1372638669, 1372638681, 1372638684, 1372638685, 1372638687, 1372638692, 1372638694, 1372638699, 1372638714, 1372638723, 1372638729, 1372638730, 1372638739, 1372638744, 1372638770, 1372638774, 1372638777, 1372638782, 1372638789, 1372638794, 1372638801, 1372638804, 1372638810, 1372638811, 1372638819, 1372638822, 1372638823, 1372638824, 1372638827, 1372638827, 1372638830, 1372638830, 1372638834, 1372638842, 1372638849, 1372638864, 1372638876, 1372638879, 1372638891, 1372638894, 1372638900, 1372638904, 1372638909, 1372638939, 1372638954, 1372638969, 1372638984, 1372638992, 1372638994, 1372638999, 1372639001, 1372639005, 1372639014, 1372639059, 1372639074, 1372639101, 1372639111, 1372639134, 1372639164, 1372639167, 1372639169, 1372639179, 1372639224, 1372639254, 1372639299, 1372639329, 1372639344, 1372639359, 1372639368, 1372639369, 1372639373, 1372639373, 1372639374, 1372639386, 1372639389, 1372639400, 1372639404, 1372639419, 1372639420, 1372639424, 1372639434, 1372639449]",20000600
30,13,"[3103, 5132, 3092, 10080, 8278, 8248, 5133, 111, 114, 4509, 1976, 3090, 569, 7945, 586, 1305, 10403, 1862, 443, 446, 448, 3171, 450, 1968, 3200, 3156, 3205, 3207, 3304, 3301, 3212, 454, 9604, 1966, 1963, 3340, 1906, 7126, 5369, 9239, 1753, 1754, 1764, 5359, 1943, 7729]","[1372638595, 1372638610, 1372638625, 1372638633, 1372638652, 1372638655, 1372638665, 1372638670, 1372638685, 1372638700, 1372638715, 1372638745, 1372638751, 1372638760, 1372638769, 1372638769, 1372638770, 1372638775, 1372638790, 1372638805, 1372638850, 1372638861, 1372638865, 1372638872, 1372638876, 1372638880, 1372638888, 1372638895, 1372638902, 1372638904, 1372638907, 1372638910, 1372638920, 1372638925, 1372638940, 1372638955, 1372638967, 1372638970, 1372638985, 1372638998, 1372639000, 1372639008, 1372639013, 1372639015, 1372639023, 1372639030]",20000233
31,66,"[3233, 1966, 1963, 3339, 1965, 1941, 428, 5279, 5272, 3310, 5273, 431, 9893, 540, 541, 544, 8297, 5261, 547, 3144, 3162, 575, 10600, 3194, 3195, 3295, 10598, 3175, 1970, 8355, 8352, 576, 581, 8751, 582, 584, 7944, 7942, 568, 570, 572, 4594, 10243, 895, 4590, 993, 125, 124, 7336, 106, 592, 590, 10125, 2332, 7021, 867, 8770, 7015]","[1372638641, 1372638656, 1372638671, 1372638684, 1372638698, 1372638708, 1372638716, 1372638731, 1372638761, 1372638843, 1372638926, 1372638956, 1372638971, 1372638986, 1372639001, 1372639091, 1372639106, 1372639121, 1372639127, 1372639136, 1372639143, 1372639151, 1372639161, 1372639162, 1372639166, 1372639196, 1372639203, 1372639204, 1372639206, 1372639207, 1372639211, 1372639214, 1372639226, 1372639241, 1372639256, 1372639267, 1372639269, 1372639269, 1372639271, 1372639286, 1372639292, 1372639294, 1372639301, 1372639316, 1372639322, 1372639331, 1372639346, 1372639391, 1372639400, 1372639403, 1372639406, 1372639420, 1372639432, 1372639436, 1372639447, 1372639449, 1372639451, 1372639466]",20000520
32,19,"[9645, 7653, 2330, 7789, 5669, 5672]","[1372639181, 1372639196, 1372639211, 1372639226, 1372639256, 1372639301]",20000089
