name,address,pname,cityname,adname,adcode,lon_gcj02,lat_gcj02,typecode,大类,中类,小类,lon_wgs84,lat_wgs84,tel
海育大厦停车场(入口),羊坊店,北京市,北京市,海淀区,110108,116.310905,39.909397,150907,交通设施服务,停车场,停车场入口,116.30480909203632,39.90811773772901,0
凯德mall·翠微路地下车库(入口),翠微路12号,北京市,北京市,海淀区,110108,116.304428,39.91262800000001,150907,交通设施服务,停车场,停车场入口,116.2983449945106,39.91135998407778,0
永定路出口,莲石东路和莲石东路青塔西路出口的交叉口附近,北京市,北京市,海淀区,110108,116.260559,39.896854,150000,交通设施服务,交通服务相关,交通服务相关,116.254531028861,39.89563645824822,0
蓟鑫大厦停车场,展春园西路2号院,北京市,北京市,海淀区,110108,116.340401,39.988205,150904,交通设施服务,停车场,公共停车场,116.33422871404194,39.98686683739263,0
资源大厦停车场,中关村北大街153附近,北京市,北京市,海淀区,110108,116.315598,39.988094,150904,交通设施服务,停车场,公共停车场,116.30948206578148,39.98680295718468,0
新兴宾馆停车场(入口),西三环中路17号,北京市,北京市,海淀区,110108,116.30983700000002,39.910378,150907,交通设施服务,停车场,停车场入口,116.3037432234148,39.90910061576785,0
停车场,昆明湖东路附近,北京市,北京市,海淀区,110108,116.281807,39.992073,150904,交通设施服务,停车场,公共停车场,116.27575111416616,39.990834633597736,0
净雅大酒店停车场(西翠路),西翠路19号,北京市,北京市,海淀区,110108,116.282883,39.906643,150904,交通设施服务,停车场,公共停车场,116.2768364223583,39.90540683813144,0
中国科学院北京分院停车场,紫金数码园1号楼,北京市,北京市,海淀区,110108,116.338264,39.979717,150904,交通设施服务,停车场,公共停车场,116.3320975972137,39.97838317990564,0
紫金数码园停车场,数码园4号紫金数码园4号楼北侧,北京市,北京市,海淀区,110108,116.338127,39.97974,150904,交通设施服务,停车场,公共停车场,116.33196090402154,39.9784064364969,0
停车场(星规路),中关村南一条4号,北京市,北京市,海淀区,110108,116.334839,39.978268,150904,交通设施服务,停车场,公共停车场,116.3286805664653,39.976940716076285,0
停车场(福缘门路),颐和园路35号,北京市,北京市,海淀区,110108,116.302513,39.997433,150904,交通设施服务,停车场,公共停车场,116.29642312243028,39.996164788759096,0
停车场(善缘街),中关村大街15号B^109号附近,北京市,北京市,海淀区,110108,116.313225,39.980999,150904,交通设施服务,停车场,公共停车场,116.30711513612124,39.97971262873258,0
停车场(立身路),西土城路10号北京邮电大学,北京市,北京市,海淀区,110108,116.359306,39.961239,150905,交通设施服务,停车场,专用停车场,116.35309790290545,39.9598693397004,0
北京邮电大学停车场(西土城路辅路),西土城路10号北京邮电大学,北京市,北京市,海淀区,110108,116.355797,39.960182,150905,交通设施服务,停车场,专用停车场,116.34959571619407,39.95881793316087,0
停车场(北京邮电大学社区卫生服务中心东),西土城路10号北京邮电大学,北京市,北京市,海淀区,110108,116.355431,39.960434,150905,交通设施服务,停车场,专用停车场,116.34923039998442,39.959070517898994,0
北京邮电大学停车场(北京邮电大学科学会堂西南),西土城路10号北京邮电大学,北京市,北京市,海淀区,110108,116.358696,39.961205,150905,交通设施服务,停车场,专用停车场,116.35248904351911,39.95983628602118,0
北京大学李兆基人文学苑停车场(出囗),颐和园路5号北京大学,北京市,北京市,海淀区,110108,116.31234,39.99641,150904,交通设施服务,停车场,公共停车场,116.30623010650238,39.995124610240175,0
龙湖星悦荟停车场,二龙闸103号,北京市,北京市,海淀区,110108,116.291145,39.996887,150904,交通设施服务,停车场,公共停车场,116.28507531397214,39.99563642222813,0
会展公寓停车场,北三环西路46附近,北京市,北京市,海淀区,110108,116.325043,39.966434,150904,交通设施服务,停车场,公共停车场,116.31890853341744,39.96512594950536,0
停车场(篱笆房路),北三环西路128附近,北京市,北京市,海淀区,110108,116.328888,39.964626,150900,交通设施服务,停车场,停车场相关,116.32274494164756,39.963310643767535,0
停车场(计算所祥园研发区西南),中关村南路甲2号,北京市,北京市,海淀区,110108,116.324051,39.981274,150904,交通设施服务,停车场,公共停车场,116.3179169295192,39.97996725553757,0
清华大学机动车停车场,双清路30号清华大学,北京市,北京市,海淀区,110108,116.324707,39.995663,150904,交通设施服务,停车场,公共停车场,116.3185696155719,39.9943544056942,0
琨御府售楼处停车场,玲珑路附近,北京市,北京市,海淀区,110108,116.29483,39.932613,150900,交通设施服务,停车场,停车场相关,116.28876227330976,39.931359616200425,0
马甸公园(东南入口),马甸桥西北角,北京市,北京市,海淀区,110108,116.38021100000002,39.968956,150000,交通设施服务,交通服务相关,交通服务相关,116.37397083590712,39.9675599709776,0
光耀东方购物中心(西1门),羊坊店路22附近,北京市,北京市,海淀区,110108,116.321701,39.89905200000001,150904,交通设施服务,停车场,公共停车场,116.31558261858396,39.89775309576981,0
翠微百货停车场(出口),复兴路33号,北京市,北京市,海淀区,110108,116.303757,39.908768,150908,交通设施服务,停车场,停车场出口,116.29767580147114,39.907501290262665,0
北太平路18号院停车场,0,北京市,北京市,海淀区,110108,116.258293,39.902878,150904,交通设施服务,停车场,公共停车场,116.25226472418586,39.90166104470959,0
北展后湖码头,动物园路,北京市,北京市,海淀区,110108,116.343224,39.943783,150300,交通设施服务,港口码头,港口码头,116.33705106732788,39.942441397652885,0
北京嘉源五孔桥菜市场停车场,永定河路,北京市,北京市,海淀区,110108,116.272469,39.92297,150904,交通设施服务,停车场,公共停车场,116.26643134456114,39.92174375174323,0
中国有色工程设计研究总院停车场,复兴路12号,北京市,北京市,海淀区,110108,116.323006,39.906822,150904,交通设施服务,停车场,公共停车场,116.3168836815527,39.90552026339614,0
卓展购物中心停车场(出口),五棵松北路2号,北京市,北京市,海淀区,110108,116.27616100000002,39.914089,150908,交通设施服务,停车场,停车场出口,116.27012110641172,39.91285976647243,0
北坞创新园停车场,北坞村路,北京市,北京市,海淀区,110108,116.256683,39.980076,150904,交通设施服务,停车场,公共停车场,116.2506452807967,39.97885640482588,0
船舶宾馆停车场,翠微路18号,北京市,北京市,海淀区,110108,116.302643,39.910091,150904,交通设施服务,停车场,公共停车场,116.29656380965211,39.90882610825632,0
黄亭子小区7号楼停车场,黄亭子小区5号楼旁,北京市,北京市,海淀区,110108,116.35608700000002,39.973305,150904,交通设施服务,停车场,公共停车场,116.34988348390516,39.97193994400787,0
88号大楼停车场(出入口),采石北路,北京市,北京市,海淀区,110108,116.260323,39.917393,150000,交通设施服务,交通服务相关,交通服务相关,116.25429253562952,39.91617466124516,0
653路北土城西路东口站,北土城西路小月河对面,北京市,北京市,海淀区,110108,116.374077,39.976669,150000,交通设施服务,交通服务相关,交通服务相关,116.36784320435,39.97527889422344,0
晾果厂小区地下停车场(出口),0,北京市,北京市,海淀区,110108,116.327644,39.912945,150000,交通设施服务,交通服务相关,交通服务相关,116.32151030987708,39.91163411369275,0
万春园停车场,清华西路28号圆明园遗址公园内,北京市,北京市,海淀区,110108,116.313522,40.000965,150904,交通设施服务,停车场,公共停车场,116.30740898134177,39.99967725267986,0
颐和园-出口,万泉河桥和万泉河路辅路的交叉口附近,北京市,北京市,海淀区,110108,116.299904,39.987808,150000,交通设施服务,交通服务相关,交通服务相关,116.29382028927527,39.98654448268531,0
机场巴士公主坟站,西三环中路17号2附近,北京市,北京市,海淀区,110108,116.309929,39.910671,150000,交通设施服务,交通服务相关,交通服务相关,116.30383499339412,39.90939343836037,0
北京韩建集团停车场,吴家村路6号,北京市,北京市,海淀区,110108,116.303139,39.889709,150904,交通设施服务,停车场,公共停车场,116.29706139277089,39.88844419211591,0
莲花小区2号楼地下停车场(出口),莲花苑2号楼,北京市,北京市,海淀区,110108,116.303917,39.896439,150000,交通设施服务,交通服务相关,交通服务相关,116.29783702785632,39.89517256627671,0
肯德基停车场,阜成路北三街,北京市,北京市,海淀区,110108,116.316483,39.924568,150904,交通设施服务,停车场,公共停车场,116.3103730986648,39.92327784729977,0
卓展购物中心停车场(入口),五棵松北路1号,北京市,北京市,海淀区,110108,116.279015,39.914074,150907,交通设施服务,停车场,停车场入口,116.27297211108193,39.91284186410262,0
海淀剧院停车场(入口),大泥湾路,北京市,北京市,海淀区,110108,116.317635,39.97699,150000,交通设施服务,交通服务相关,交通服务相关,116.31151595506786,39.975695603431866,0
莲花小区1号楼停车场(出口),莲花苑1号楼,北京市,北京市,海淀区,110108,116.306274,39.89637800000001,150908,交通设施服务,停车场,停车场出口,116.30018932798497,39.89510752233944,0
建设部地下车库(出口),车公庄西路北京市公安局海淀区分局甘家口派出所建设部社区警务工作室附近,北京市,北京市,海淀区,110108,116.329132,39.93108400000001,150000,交通设施服务,交通服务相关,交通服务相关,116.3229926100197,39.92976950553447,0
甘家口大厦停车场(出口),增光路,北京市,北京市,海淀区,110108,116.332878,39.927273,150908,交通设施服务,停车场,停车场出口,116.32673049276532,39.925951483373744,0
理工科技大厦停车场,南大街9号理工科技大厦内,北京市,北京市,海淀区,110108,116.321739,39.957935,150907,交通设施服务,停车场,停车场入口,116.31561312978536,39.95663359717083,0
莲花苑5号楼停车场,莲花苑5号,北京市,北京市,海淀区,110108,116.30896,39.895741,150904,交通设施服务,停车场,公共停车场,116.3028698898964,39.89446582942809,0
北京交通大学停车场(思源路),北下关,北京市,北京市,海淀区,110108,116.341164,39.949417,150904,交通设施服务,停车场,公共停车场,116.33499491984745,39.948078968511545,0
北京交通大学停车场(银杏大道),西直门外上园村3号北京交通大学,北京市,北京市,海淀区,110108,116.338966,39.950741,150904,交通设施服务,停车场,公共停车场,116.33280167880535,39.94940701189029,0
中国农业大学东校区停车场,清华东路17号中国农业大学东校区,北京市,北京市,海淀区,110108,116.358749,40.00174000000001,150905,交通设施服务,停车场,专用停车场,116.35253678691416,40.00036954971125,0
中国农业大学东校区停车场(金码大酒店西),清华东路17号中国农业大学东校区,北京市,北京市,海淀区,110108,116.356674,40.00148,150905,交通设施服务,停车场,专用停车场,116.35046576339856,40.000112836943,0
中国政法大学停车场(明光东路),西土城路25号中国政法大学,北京市,北京市,海淀区,110108,116.35171499999998,39.964172,150905,交通设施服务,停车场,专用停车场,116.34552138028936,39.962814561258725,0
北京交通大学停车场(红果园路),北下关,北京市,北京市,海淀区,110108,116.342392,39.952919,150904,交通设施服务,停车场,公共停车场,116.33621974847286,39.951578563334046,0
北京外国语大学东校区停车场,西三环北路2号院北京外国语大学东校区,北京市,北京市,海淀区,110108,116.31694,39.955006,150905,交通设施服务,停车场,专用停车场,116.31082526389916,39.95371377679711,0
北京交通大学停车场(知行大道),西直门外上园村3号北京交通大学,北京市,北京市,海淀区,110108,116.336853,39.951561,150904,交通设施服务,停车场,公共停车场,116.33069335482392,39.95023095577932,0
北京大学停车场(北大资源西楼西南),中关村北大街147北京大学,北京市,北京市,海淀区,110108,116.314934,39.990021,150905,交通设施服务,停车场,交通设施服务,116.3088192807612,39.98873110955593,0
北京大学停车场(中关村北一条),中关村北大街145号附近,北京市,北京市,海淀区,110108,116.315292,39.99086,150905,交通设施服务,停车场,交通设施服务,116.30917639014793,39.98956941104118,0
中国农业银行北京海淀东区支行营业部停车场(石科院社区文体活动服务站西),学院路丁11号附近,北京市,北京市,海淀区,110108,116.352516,39.99744000000001,150905,交通设施服务,停车场,专用停车场,116.34631651912622,39.996079851565966,0
中央民族大学停车场(博物馆路),中关村南大街27中央民族大学,北京市,北京市,海淀区,110108,116.318352,39.949669,150905,交通设施服务,停车场,专用停车场,116.31223479300516,39.94837433698982,0
中国人民大学停车场(汇贤路),中关村大街59号中国人民大学,北京市,北京市,海淀区,110108,116.313171,39.970249,150904,交通设施服务,停车场,公共停车场,116.3070626041283,39.96896315853156,0
停车场(人民大学南路),中关村大街59号中国人民大学,北京市,北京市,海淀区,110108,116.311798,39.967522,150904,交通设施服务,停车场,公共停车场,116.3056928995428,39.96623877236955,0
中国人民大学停车场(中国人民大学医院东北),中关村大街59号中国人民大学,北京市,北京市,海淀区,110108,116.311516,39.967861,150904,交通设施服务,停车场,公共停车场,116.3054114593888,39.96657827073472,0
中国人民大学停车场(中国人民大学医院北),中关村大街59号中国人民大学,北京市,北京市,海淀区,110108,116.311348,39.968006,150904,交通设施服务,停车场,公共停车场,116.30524379939376,39.96672356941014,0
大钟寺中坤广场停车场,北三环西路166附近,北京市,北京市,海淀区,110108,116.341118,39.965393,150904,交通设施服务,停车场,公共停车场,116.3349470007,39.96405442393797,0
北京交通大学停车场,西直门外上园村3号北京交通大学,北京市,北京市,海淀区,110108,116.346252,39.95129,150904,交通设施服务,停车场,公共停车场,116.34007151545924,39.94994261801497,0
万寿路9号院停车场,万寿路9号院,北京市,北京市,海淀区,110108,116.288963,39.911259,150904,交通设施服务,停车场,公共停车场,116.28290738602328,39.91001490904177,0
飞行人员康复中心停车场,昌运宫15号飞行人员康复中心,北京市,北京市,海淀区,110108,116.306488,39.940556,150904,交通设施服务,停车场,公共停车场,116.3003973645657,39.939283289551774,0
财达证券有限责任公司地上停车场,花园路2号财达证券有限责任公司,北京市,北京市,海淀区,110108,116.368477,39.978901,150904,交通设施服务,停车场,公共停车场,116.36225099318628,39.97751757993305,0
文慧园1-4号楼停车场,小西天文慧园路文慧园1-4号楼,北京市,北京市,海淀区,110108,116.362061,39.949322,150904,交通设施服务,停车场,公共停车场,116.35584942516836,39.94794865376952,0
停车场(美丽园社区卫生工作站西北),西四环四季青桥东南,北京市,北京市,海淀区,110108,116.282684,39.933746,150904,交通设施服务,停车场,公共停车场,116.27663429869057,39.93250894257889,0
空军总医院停车场(阜成路辅路),阜成路30号空军总医院,北京市,北京市,海淀区,110108,116.300964,39.92252,150904,交通设施服务,停车场,公共停车场,116.29488647102389,39.92125736604404,0
武警总医院停车场(永定路),永定路69号武警总医院,北京市,北京市,海淀区,110108,116.264404,39.912212,150904,交通设施服务,停车场,公共停车场,116.25837278882288,39.91099189398986,0
金沟河路10号院停车场,金沟河路10号,北京市,北京市,海淀区,110108,116.262459,39.91721,150904,交通设施服务,停车场,公共停车场,116.25642793244351,39.9159907055789,0
停车场(北大医学部8号楼东北),花园北路,北京市,北京市,海淀区,110108,116.364029,39.981888,150904,交通设施服务,停车场,公共停车场,116.35780985978828,39.98051050991697,0
新科祥园院内停车场,科学院南路5-19号,北京市,北京市,海淀区,110108,116.324059,39.983398,150904,交通设施服务,停车场,公共停车场,116.3179246434246,39.98209115396311,0
中国中铁广场B座东侧停车场,复兴路69号,北京市,北京市,海淀区,110108,116.28286,39.913364,150904,交通设施服务,停车场,公共停车场,116.27681261476538,39.91212757587287,0
翠微小区中、东、北里停车场,翠微路翠微小区,北京市,北京市,海淀区,110108,116.300919,39.915695,150904,交通设施服务,停车场,公共停车场,116.2948424093132,39.91443272482076,0
慧科大厦停车场(西四环北路辅路),八里庄,北京市,北京市,海淀区,110108,116.276909,39.933605,150904,交通设施服务,停车场,公共停车场,116.27086592576168,39.93237422685901,0
阜成路26号院停车场,阜成路26号,北京市,北京市,海淀区,110108,116.306686,39.923241,150904,交通设施服务,停车场,公共停车场,116.30059713061344,39.92196864459893,0
中澳写字楼停车场,恩济西园餐饮楼10中澳写字楼,北京市,北京市,海淀区,110108,116.280945,39.931786,150904,交通设施服务,停车场,公共停车场,116.2748976806579,39.93055102197832,0
复兴路61号院停车场(复兴路),万寿路西街59附近,北京市,北京市,海淀区,110108,116.292221,39.908958,150905,交通设施服务,停车场,专用停车场,116.28616057337968,39.907709447243256,0
